GroupName,Variable,Value,PatternId,VinSchemaId,Keys,ElementId,AttributeId,CreatedOn,WmiId,Code,DataType,Decode,Source,ToBeQCd
Active Safety System,Electronic Stability Control (ESC),Standard,14433,4598,,99,1,23:32.0,NULL,ESC,lookup,Pattern,Vehicle Specs,0
Active Safety System,Traction Control,Standard,14433,4598,,100,1,23:32.0,NULL,TractionControl,lookup,Pattern,Vehicle Specs,0
Active Safety System,Tire Pressure Monitoring System (TPMS) Type,Direct,14433,4598,,168,1,23:32.2,NULL,TPMS,lookup,Pattern,Vehicle Specs,0
Active Safety System,Auto-Reverse System for Windows and Sunroofs,Standard,14433,4598,,172,1,23:32.3,NULL,AutoReverseSystem,lookup,Pattern,Vehicle Specs,0
Active Safety System,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Standard,14433,4598,,173,1,23:32.3,NULL,AutomaticPedestrianAlertingSound,lookup,Pattern,Vehicle Specs,0
Active Safety System,Event Data Recorder (EDR),Standard,14433,4598,,175,1,23:32.3,NULL,EDR,lookup,Pattern,Vehicle Specs,0
Active Safety System,Keyless Ignition,Standard,14433,4598,,176,1,23:32.3,NULL,KeylessIgnition,lookup,Pattern,Vehicle Specs,0
Active Safety System / Maintaining Safe Distance,Adaptive Cruise Control (ACC),Standard,14433,4598,,81,1,23:31.9,NULL,AdaptiveCruiseControl,lookup,Pattern,Vehicle Specs,0
Active Safety System / Forward Collision Prevention,Crash Imminent Braking (CIB),Standard,14433,4598,,87,1,23:32.0,NULL,CIB,lookup,Pattern,Vehicle Specs,0
Active Safety System / Forward Collision Prevention,Forward Collision Warning (FCW),Standard,14433,4598,,101,1,23:32.0,NULL,ForwardCollisionWarning,lookup,Pattern,Vehicle Specs,0
Active Safety System / Forward Collision Prevention,Pedestrian Automatic Emergency Braking (PAEB),Standard,14433,4598,,171,1,23:32.2,NULL,PedestrianAutomaticEmergencyBraking,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lane and Side Assist,Blind Spot Warning (BSW),Standard,14433,4598,,88,1,23:32.0,NULL,BlindSpotMon,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lane and Side Assist,Lane Departure Warning (LDW),Standard,14433,4598,,102,1,23:32.1,NULL,LaneDepartureWarning,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lane and Side Assist,Lane Keeping Assistance (LKA),Standard,14433,4598,,103,1,23:32.2,NULL,LaneKeepSystem,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lane and Side Assist,Blind Spot Intervention (BSI),Standard,14433,4598,,193,1,23:32.5,NULL,BlindSpotIntervention,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lane and Side Assist,Lane Centering Assistance,Optional,14433,4598,,194,3,23:32.5,NULL,LaneCenteringAssistance,lookup,Pattern,Vehicle Specs,0
Active Safety System / Backing Up and Parking,Backup Camera,Standard,14433,4598,,104,1,23:32.2,NULL,RearVisibilitySystem,lookup,Pattern,Vehicle Specs,0
Active Safety System / Backing Up and Parking,Parking Assist,Optional,14433,4598,,105,3,23:32.2,NULL,ParkAssist,lookup,Pattern,Vehicle Specs,0
Active Safety System / Backing Up and Parking,Rear Cross Traffic Alert,Standard,14433,4598,,183,1,23:32.5,NULL,RearCrossTrafficAlert,lookup,Pattern,Vehicle Specs,0
Active Safety System / Backing Up and Parking,Rear Automatic Emergency Braking,Standard,14433,4598,,192,1,23:32.5,NULL,RearAutomaticEmergencyBraking,lookup,Pattern,Vehicle Specs,0
Active Safety System / 911 Notification,Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Standard,14433,4598,,174,1,23:32.3,NULL,CAN_AACN,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lighting Technologies,Daytime Running Light (DRL),Standard,14433,4598,,177,1,23:32.3,NULL,DaytimeRunningLight,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lighting Technologies,Headlamp Light Source,LED,14433,4598,,178,3,23:32.5,NULL,LowerBeamHeadlampLightSource,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lighting Technologies,Semiautomatic Headlamp Beam Switching,Standard,14433,4598,,179,1,23:32.5,NULL,SemiautomaticHeadlampBeamSwitching,lookup,Pattern,Vehicle Specs,0
Active Safety System / Lighting Technologies,Adaptive Driving Beam (ADB),Standard,14433,4598,,180,1,23:32.5,NULL,AdaptiveDrivingBeam,lookup,Pattern,Vehicle Specs,0
