makeid,modelid,manufacturerid,vin,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor,fueltanktype,fueltankmaterial,combinedbrakingsystem,wheeliemitigation
475,1872,987,JH4KB16528C614553,,,Not Applicable,Not Applicable,Sedan/Saloon,6,U.S.,3471,212,3.474057568,4,,,,J35A8,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",ACURA,"HONDA MOTOR CO., LTD.",RL,2008,SAYAMA,,,,Automatic,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,Single Overhead Cam (SOHC),5,V-Shaped,1st Row (Driver and Passenger),,,,290,,JAPAN,,SAITAMA,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Rear Side Curtain Air bag (Rr R/L outer positions). Rear Seat Belts (Rr center position).,,,,,,,,,,,,,,,,0,,,Honda,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,JH4KB165*8C,,,,
515,2182,1057,JTHBL5EF6A5121371,,,Not Applicable,Not Applicable,Sedan/Saloon,8,,4608,280.70922283576,4.6,4,4x2,,,1UR-FSE,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",LEXUS,TOYOTA MOTOR CORPORATION,LS,2010,TAHARA,,USF40L/USF41L/USF45L/USF46L,,,460,PASSENGER CAR,,,,,,,,All Rows,,,,,Short,,,,V-Shaped,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),385,,JAPAN,Toyota Motor Corporation - Tahara Plant,AICHI,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,Toyota,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,JTHBL5EF*A5,,,,
469,9091,984,1G6KS54Y01U057084,,,Not Applicable,Not Applicable,Sedan/Saloon,8,,4600.0,280.70922283576,4.6,4,,,,LD8,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",CADILLAC,GENERAL MOTORS LLC,Seville,2001,HAMTRAMCK,,,,,SLS,PASSENGER CAR,4,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,V-Shaped,1st Row (Driver and Passenger),,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),NA-GM Corp,MICHIGAN,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,"Body Type: Sedan, 4-6 Window, Notchback (GM codes: 19, 69)",,Not Applicable,Not Applicable,,,,,Water,,,,,Name Plate: Cadillac,,,,,,,,,,0,,,WRN1,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1G6KS54Y*1U,,,,
582,3146,1149,WAULC68E44A411275,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,1781,108.683288232,1.781000,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",AUDI,AUDI AG,A4,2004,INGOLSTADT,,quattro,,,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,170,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Active Seat Belt.,,,,,,50-St/Can. BIN 9 / LEV emission std.  Emissions Certification Test Group: 4ADXV01.8342.,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WAULC68E*4A,,,,
469,1844,984,3GYFNAEY4AS035421,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3000,183.0712322841,3,4,FWD/Front-Wheel Drive,,,LF1,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",CADILLAC,GENERAL MOTORS LLC,SRX,2010,RAMOS ARIZPE,,,,,Luxury,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),,,,,,MEXICO,,COAHUILA,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,Book N,,Not Applicable,Not Applicable,,,,Airbags: Roof Side (all seating rows),,,,,,"VVT, ALUM, SIDI",,,,,,,,,,0,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,3GYFNAEY*AS,,,,
582,3148,1149,WAUEH54B91N273110,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,2771,169.096794886,2.771000,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",AUDI,AUDI AG,A6,2001,NECKARSULM,,quattro,,,,PASSENGER CAR,,,,,,,,Driver Seat Only,,,,,,,,,,1st Row (Driver and Passenger),,,,200,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,1st and 2nd Rows,,,,,,,Not Applicable,Not Applicable,,,,Active Seat Belt.,,,,,,50-St/Can. LEV emission std.  Emissions Certification Test Group: 1ADXV02.8334.,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WAUEH54B*1N,,,,
482,3136,1148,WVGEF9BP5ED506812,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3596,219.441383764,3.596000,4,,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",VOLKSWAGEN,VOLKSWAGEN AG,Touareg,2014,BRATISLAVA,,V6 FSI / TDI / Hybrid,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,1st Row (Driver and Passenger),,,,,,,,,,1st Row (Driver and Passenger),,,,280.00,,SLOVAKIA,,,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"Restraint System: Active - Dr/Pass; Front Air Bag - Dr/Pass; Advanced Front Air Bags; Side Impact Air Bags - Front; Side Curtain Air Bags  ",,,,,,Fuel: GAS (50-St); Federal / California Emission Standard: BIN 5 / ULEV II; Emissions Certification Test Group: EVWXT03.6U76,,,,,,,,,,0,,,Volkswagen,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WVGEF9BP*ED,,,,
475,1873,988,19UUA8F74CA459825,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,3474.057568,212,3.474057568,4,,,,J35Z6,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",ACURA,"AMERICAN HONDA MOTOR CO., INC.",TL,2012,MARYSVILLE,,,,Automatic,ADV,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,Single Overhead Cam (SOHC),6,V-Shaped,1st Row (Driver and Passenger),,,,280,,UNITED STATES (USA),,OHIO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,19UUA8F7*CA,,,,
468,1821,984,2G4WC562X51998950,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,3800.0,231.89022755998,3.8,4,,,,L26,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BUICK,GENERAL MOTORS LLC,LaCrosse,2005,OSHAWA #2,,CX,,,,PASSENGER CAR,4,,,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,Sequential Fuel Injection (SFI),,,,CANADA,GMNA,ONTARIO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Automatic Occupant Sensor (Passenger),Water,,,,,Name Plate: Pontiac,,,,,,,,,,0,,,WRN1,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,2G4WC562*51,,,,
452,1718,966,WBAFR9C57CD465221,,,Not Applicable,Not Applicable,Sedan/Saloon,8,,4395.0105648,268.2,4.4,4,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BMW,BMW AG,550i,2012,DINGOLFING,,5-Series,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,400,,GERMANY,,,Yes,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"Head Inflatable Restraint for Driver, Front Passenger, Rear Outboard Driver-side and Rear Outboard Passenger-side.  Knee Inflatable Restraint for Driver and Front Passenger.  Pretensioners for Driver and Front Passenger.",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WBAFR9C5*CD,,,,
472,1857,984,1GD120EG8BF899948,,,,,Incomplete,8,,6000.0,366.14246456839,6.0,4,4WD/4-Wheel Drive/4x4,,,"L96 - Flex Fuel: Gas/Ethanol, IRON",,,Gasoline,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",GMC,GENERAL MOTORS LLC,Sierra,2011,FLINT,,2500,,,SLE,INCOMPLETE VEHICLE,,,Hydraulic,,,,,,,,,,,,,,,1st Row (Driver and Passenger),Ethanol (E85),Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Roof Side Airbags: All seating rows,,,,,,,,,,,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,,,"Incomplete Vehicle Warning - Please be advised that the vehicle may have been altered and may not be an accurate representation of the vehicle in its current condition. The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1GD120EG*BF,,,,
476,1938,1002,3C63DPNL4CG940399,,,,Extra/Super/Quad/Double/King/Extended,Pickup,8,,6700.0,408.85908543470,6.7,,4x2,,,,,,Diesel,"Class 3: 10,001 - 14,000 lb (4,536 - 6,350 kg)",DODGE,CHRYSLER DE MEXICO TOLUCA,Ram,2012,SALTILLO,,,Left-Hand Drive (LHD),,3500-Longhorn,TRUCK,,,Hydraulic,,,,,,,,,,,,,,,,,,,,,MEXICO,Saltillo Assembly,COAHUILA,,Manual,,,,,,,,,,,,,,,,,,,,,Drive Type: Dual Rear Wheels,,Not Applicable,Not Applicable,,,,Active Seat Belt,,,,,,Sales Code: ETJ,,,,Yes,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,,,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,3C63DPNL*CG,,,,
